lasso,ridge,ela,gbm,xgb
11.657439610984113,12.230244308878069,12.229570772144186,12.221149662610744,12.245502471923828
11.953551059523747,12.225275213546116,12.204714310979952,12.083510573740751,12.075921058654785
12.09397593316983,12.257345964480448,12.254476645277956,12.256925995015886,12.27916431427002
12.188817722953493,12.039618736842302,12.039886741041894,12.031037480907335,12.023687362670898
12.18865677988446,12.555618656505379,12.548480476387267,12.50972768546603,12.566120147705078
12.059618436519102,11.869742071617555,11.9382364610764,11.853044543357349,11.80921745300293
12.116813022971444,12.521864249340204,12.530301650878515,12.541819050041187,12.552658081054688
12.010940708736333,12.3461324614732,12.315650662108602,12.346187287325266,12.278332710266113
12.22004075397994,11.68803544471414,11.71872566004483,11.71819827402403,11.777546882629395
11.677575948872414,12.128009933407204,11.90506015854704,11.572837285896005,11.704614639282227
12.142137701881172,11.763769154716892,11.763080402022613,11.729343176018071,11.745637893676758
11.530548018199053,12.881191321655102,12.873406438553598,12.836301867353225,12.821343421936035
11.500653384061183,11.782484814419925,11.769176202707046,11.755297310440511,11.767630577087402
11.899575442871654,12.332114123776257,12.33026012776392,12.313128343289087,12.266037940979004
11.694879076581344,11.841378393682524,11.855766960341713,11.920734007723643,11.945318222045898
12.765002078398158,11.86219373965582,11.8275128407923,11.800967279169939,11.837820053100586
12.43946303762059,11.971953057777073,11.967668901839216,11.918104334344111,11.91706657409668
12.491020980602013,11.696913676982133,11.61808987474431,11.542042070258573,11.570930480957031
12.490707757284515,11.903454864889758,11.904641611776707,11.921245871488935,11.933409690856934
13.138647848561,11.7584471094231,11.768103472731203,11.726898534455499,11.729835510253906
12.721752789826239,12.685451661093225,12.682156898560988,12.775180757016086,12.80831241607666
12.26612478130492,11.779731482826653,11.770997335034725,11.76759533361958,11.775289535522461
12.051447114565011,12.347605683980081,12.354092295002243,12.391736711963768,12.377357482910156
12.015935635329075,11.828840596820088,11.820696714256592,11.849732754795715,11.835084915161133
12.087082577124786,11.956814560735154,11.925128636936801,11.913156686335617,11.877138137817383
12.181727669032291,12.46426046987277,12.447155716575095,12.425441817209771,12.395013809204102
12.67123063027504,11.780353270117764,11.771765889262685,11.815847782546706,11.802720069885254
12.39034356604639,12.577059933843017,12.567877837694306,12.626682959136948,12.67032527923584
12.171992052359172,12.23251132200411,12.247066920253113,12.1394345702526,12.187518119812012
12.30802666498428,11.283385443230438,11.20361488628417,11.149820960738195,10.962292671203613
12.149529893451511,11.122227431503791,11.240877860441046,11.259981550738747,11.424126625061035
11.394519741196891,11.82335530316908,11.84517319760277,11.843476893895787,11.80178451538086
12.09138359788647,12.126867137600536,12.129432993667395,12.157553545099132,12.14211654663086
12.536247380183749,12.041013732691429,12.078391355365447,12.039465007373286,12.03817081451416
12.565057727363437,12.550926509722073,12.550494644042786,12.586447996046752,12.55938720703125
12.3284268527815,12.637477395289707,12.631693151333067,12.692876622552118,12.692712783813477
12.140373084402915,11.981017524444828,11.981436486009988,11.929887317434563,11.869999885559082
12.007238937914853,11.976133145333145,11.971389989680722,12.016621443180053,12.040420532226562
11.97701005496332,11.732099583050154,11.738793582639373,11.775628331137854,11.755819320678711
11.927772035328822,11.467466872005689,11.313421506199234,11.347440707178386,11.331343650817871
12.07075895404688,11.815983743581072,11.80613676658609,11.890304450806186,11.868412017822266
11.969480764530214,12.035348789984695,12.028025868227935,12.009323655585769,11.989681243896484
12.514926906648542,11.95977640615398,11.968114093598466,11.92462648145798,11.888871192932129
12.38974751145892,11.714169921096447,11.740786671953554,11.762703870823273,11.788435935974121
12.322065632415615,11.886688242384482,11.877270158993616,11.841537137418255,11.863262176513672
12.18904541621906,12.560729239985365,12.563298315488847,12.601710130744154,12.565465927124023
12.486904323311924,12.464007319280098,12.458114661759092,12.558240554684842,12.651033401489258
12.189684829337658,12.384250995980981,12.379466579377981,12.40367334494806,12.375800132751465
11.978074151475745,11.380160325805836,11.423634536603961,11.461616363304724,11.506613731384277
